UN Code,Country,Continent,Alphabetic code
458,Malaysia,Asia,MYS
462,Maldives,Asia,MDV
496,Mongolia,Asia,MNG
512,Oman,Asia,OMN
524,Nepal,Asia,NPL
586,Pakistan,Asia,PAK
608,Philippines,Asia,PHL
626,Timor-Leste,Asia,TLS
634,Qatar,Asia,QAT
682,Saudi Arabia,Asia,SAU
702,Singapore,Asia,SGP
704,Viet Nam,Asia,VNM
760,Syrian Arab Republic,Asia,SYR
762,Tajikistan,Asia,TJK
764,Thailand,Asia,THA
784,United Arab Emirates,Asia,ARE
792,Turkey,Asia,TUR
795,Turkmenistan,Asia,TKM
860,Uzbekistan,Asia,UZB
887,Yemen,Asia,YEM
8,Albania,Europe,ALB
20,Andorra,Europe,AND
40,Austria,Europe,AUT
56,Belgium,Europe,BEL
70,Bosnia and Herzegovina,Europe,BIH
100,Bulgaria,Europe,BGR
112,Belarus,Europe,BLR
191,Croatia,Europe,HRV
203,Czechia,Europe,CZE
208,Denmark,Europe,DNK
233,Estonia,Europe,EST
234,Faroe Islands,Europe,FRO
246,Finland,Europe,FIN
248,Åland Islands,Europe,ALA
250,France,Europe,FRA
276,Germany,Europe,DEU
292,Gibraltar,Europe,GIB
300,Greece,Europe,GRC
336,Holy See,Europe,VAT
348,Hungary,Europe,HUN
352,Iceland,Europe,ISL
372,Ireland,Europe,IRL
380,Italy,Europe,ITA
428,Latvia,Europe,LVA
438,Liechtenstein,Europe,LIE
440,Lithuania,Europe,LTU
442,Luxembourg,Europe,LUX
470,Malta,Europe,MLT
492,Monaco,Europe,MCO
498,Republic of Moldova,Europe,MDA
499,Montenegro,Europe,MNE
528,Netherlands,Europe,NLD
578,Norway,Europe,NOR
616,Poland,Europe,POL
620,Portugal,Europe,PRT
642,Romania,Europe,ROU
643,Russian Federation,Europe,RUS
674,San Marino,Europe,SMR
680,Sark,Europe,
688,Serbia,Europe,SRB
703,Slovakia,Europe,SVK
705,Slovenia,Europe,SVN
724,Spain,Europe,ESP
744,Svalbard and Jan Mayen Islands,Europe,SJM
752,Sweden,Europe,SWE
756,Switzerland,Europe,CHE
804,Ukraine,Europe,UKR
807,North Macedonia,Europe,MKD
826,United Kingdom of Great Britain and Northern Ireland,Europe,GBR
831,Guernsey,Europe,GGY
832,Jersey,Europe,JEY
833,Isle of Man,Europe,IMN
28,Antigua and Barbuda,North America,ATG
44,Bahamas,North America,BHS
52,Barbados,North America,BRB
60,Bermuda,North America,BMU
84,Belize,North America,BLZ
92,British Virgin Islands,North America,VGB
124,Canada,North America,CAN
136,Cayman Islands,North America,CYM
188,Costa Rica,North America,CRI
192,Cuba,North America,CUB
212,Dominica,North America,DMA
214,Dominican Republic,North America,DOM
222,El Salvador,North America,SLV
304,Greenland,North America,GRL
308,Grenada,North America,GRD
312,Guadeloupe,North America,GLP
320,Guatemala,North America,GTM
332,Haiti,North America,HTI
340,Honduras,North America,HND
388,Jamaica,North America,JAM
474,Martinique,North America,MTQ
484,Mexico,North America,MEX
500,Montserrat,North America,MSR
531,Curaçao,North America,CUW
533,Aruba,North America,ABW
534,Sint Maarten (Dutch part),North America,SXM
535,"Bonaire, Sint Eustatius and Saba",North America,BES
558,Nicaragua,North America,NIC
591,Panama,North America,PAN
630,Puerto Rico,North America,PRI
652,Saint Barthélemy,North America,BLM
659,Saint Kitts and Nevis,North America,KNA
660,Anguilla,North America,AIA
662,Saint Lucia,North America,LCA
663,Saint Martin (French Part),North America,MAF
666,Saint Pierre and Miquelon,North America,SPM
670,Saint Vincent and the Grenadines,North America,VCT
780,Trinidad and Tobago,North America,TTO
796,Turks and Caicos Islands,North America,TCA
840,United States of America,North America,USA
850,United States Virgin Islands,North America,VIR
16,American Samoa,Oceania,ASM
36,Australia,Oceania,AUS
90,Solomon Islands,Oceania,SLB
162,Christmas Island,Oceania,CXR
166,Cocos (Keeling) Islands,Oceania,CCK
184,Cook Islands,Oceania,COK
242,Fiji,Oceania,FJI
258,French Polynesia,Oceania,PYF
296,Kiribati,Oceania,KIR
316,Guam,Oceania,GUM
334,Heard Island and McDonald Islands,Oceania,HMD
520,Nauru,Oceania,NRU
540,New Caledonia,Oceania,NCL
548,Vanuatu,Oceania,VUT
554,New Zealand,Oceania,NZL
570,Niue,Oceania,NIU
574,Norfolk Island,Oceania,NFK
580,Northern Mariana Islands,Oceania,MNP
581,United States Minor Outlying Islands,Oceania,UMI
583,Micronesia (Federated States of),Oceania,FSM
584,Marshall Islands,Oceania,MHL
585,Palau,Oceania,PLW
598,Papua New Guinea,Oceania,PNG
612,Pitcairn,Oceania,PCN
772,Tokelau,Oceania,TKL
776,Tonga,Oceania,TON
798,Tuvalu,Oceania,TUV
876,Wallis and Futuna Islands,Oceania,WLF
882,Samoa,Oceania,WSM
32,Argentina,South America,ARG
68,Bolivia (Plurinational State of),South America,BOL
74,Bouvet Island,South America,BVT
76,Brazil,South America,BRA
152,Chile,South America,CHL
170,Colombia,South America,COL
218,Ecuador,South America,ECU
238,Falkland Islands (Malvinas),South America,FLK
239,South Georgia and the South Sandwich Islands,South America,SGS
254,French Guiana,South America,GUF
328,Guyana,South America,GUY
600,Paraguay,South America,PRY
604,Peru,South America,PER
740,Suriname,South America,SUR
858,Uruguay,South America,URY
862,Venezuela (Bolivarian Republic of),South America,VEN
